id,acc_sum,lon1,lat1,lon2,lat2,cctv,cross,speedBump,parking,trafficLight,youth,baby,build,latM,lonM,youchiwon,elementry,academy,gym,school_zone
0,0,126.99421559999999,37.17418236,126.9953361,37.17508854,0,0,0,0,0,0.0,0.0,0.0,37.17372927000001,126.99477585,0,0,0,0,0
1,0,126.99420959999999,37.17508374,126.9953301,37.17598992,0,0,0,0,0,0.0,0.0,0.0,37.17463065,126.99476985,0,0,0,0,0
2,0,126.99420359999999,37.17598512,126.99532409999999,37.176891299999994,0,0,0,0,0,0.0,0.0,0.0,37.17553203,126.99476385,0,0,0,0,0
3,0,126.9941976,37.1768865,126.99531809999999,37.17779268,0,0,0,0,0,0.0,0.0,0.0,37.17643341,126.99475785000001,0,0,0,0,0
4,0,126.99534209999999,37.17418716,126.9964625,37.17509333,0,0,0,0,0,0.0,0.0,0.0,37.17373407000001,126.99590235,0,0,0,0,0
5,0,126.9953361,37.17508854,126.9964565,37.17599472,0,0,0,0,0,0.0,0.0,0.0,37.17463545,126.99589635000001,0,0,0,0,0
6,0,126.9953301,37.17598992,126.9964506,37.1768961,0,0,0,0,0,0.0,0.0,0.0,37.17553683,126.99589035000001,0,0,0,0,0
7,0,126.99532409999999,37.176891299999994,126.9964446,37.17779748,0,0,0,0,0,0.0,0.0,0.0,37.17643821,126.99588435,0,0,0,0,0
8,0,126.99531809999999,37.17779268,126.99643859999999,37.17869886,0,0,0,0,0,0.0,0.0,0.0,37.17733959,126.99587835,0,0,0,0,0
9,0,126.9964745,37.17329057,126.9975949,37.17419673,0,0,0,0,0,0.0,0.0,0.0,37.17283748,126.99703475000001,0,0,0,0,0
10,0,126.9964685,37.17419195,126.99758899999999,37.17509812,0,0,0,0,0,0.0,0.0,0.0,37.17373886,126.99702875000001,0,0,0,0,0
11,0,126.9964625,37.17509333,126.997583,37.175999499999996,0,0,0,0,0,0.0,0.0,0.0,37.17464024,126.99702275000001,0,0,0,0,0
12,0,126.9964565,37.17599472,126.997577,37.17690088,0,0,0,0,0,0.0,0.0,0.0,37.17554163,126.99701675,0,0,0,0,0
13,0,126.9964506,37.1768961,126.99757109999999,37.17780226,0,0,0,0,0,0.0,0.0,0.0,37.17644301,126.99701085000001,0,0,0,0,0
14,0,126.9964446,37.17779748,126.99756509999999,37.17870364,0,0,0,0,0,0.0,0.0,0.0,37.17734439,126.99700485000001,0,0,0,0,0
15,0,126.99643859999999,37.17869886,126.9975591,37.17960502,0,0,0,0,0,0.0,0.0,0.0,37.178245770000004,126.99699885,0,0,0,0,0
16,0,126.99643259999999,37.17960024,126.99755309999999,37.1805064,0,0,0,0,0,0.0,0.0,0.0,37.179147150000006,126.99699285,0,0,0,0,0
17,0,126.99760090000001,37.17329535,126.99872140000002,37.1742015,0,0,0,0,0,0.0,0.0,0.0,37.172842259999996,126.99816115000002,0,0,0,0,0
18,0,126.9975949,37.17419673,126.99871540000001,37.17510289,0,0,0,0,0,0.0,0.0,0.0,37.17374364,126.99815515,0,0,0,0,0
19,0,126.99758899999999,37.17509812,126.9987095,37.17600427,0,0,0,0,0,0.0,0.0,0.0,37.17464503000001,126.99814925,0,0,0,0,0
20,0,126.997583,37.175999499999996,126.99870349999999,37.17690565,0,0,0,0,0,0.0,0.0,0.0,37.175546409999995,126.99814325000001,0,0,0,0,0
21,0,126.997577,37.17690088,126.9986975,37.17780703,0,0,0,0,0,0.0,0.0,0.0,37.17644779,126.99813725000001,0,0,0,0,0
22,0,126.99757109999999,37.17780226,126.9986916,37.17870841,0,0,0,0,0,0.0,0.0,0.0,37.17734917,126.99813135,0,0,0,0,0
23,0,126.99756509999999,37.17870364,126.99868559999999,37.17960979,0,0,0,0,0,0.0,0.0,0.0,37.17825055,126.99812535,0,0,0,0,0
24,0,126.9975591,37.17960502,126.9986797,37.18051117,0,0,0,0,0,0.0,0.0,0.0,37.17915193,126.99811935000001,0,0,0,0,0
25,0,126.9987273,37.17330012,126.99984779999998,37.17420626,0,0,0,0,0,0.0,0.0,0.0,37.17284703,126.99928755,0,0,0,0,0
26,0,126.99872140000002,37.1742015,126.99984189999999,37.17510765,0,0,0,0,0,0.0,0.0,0.0,37.17374841,126.99928165000003,0,0,0,0,0
