,lat1,lat2,long1,long2,val
0,126.9942156,126.9953361,37.17418236,37.17508854,
1,126.9942096,126.9953301,37.17508374,37.17598992,
2,126.9942036,126.9953241,37.17598512,37.1768913,
3,126.9941976,126.9953181,37.1768865,37.17779268,
4,126.9953421,126.9964625,37.17418716,37.17509333,
5,126.9953361,126.9964565,37.17508854,37.17599472,
6,126.9953301,126.9964506,37.17598992,37.1768961,
7,126.9953241,126.9964446,37.1768913,37.17779748,
8,126.9953181,126.9964386,37.17779268,37.17869886,
9,126.9964745,126.9975949,37.17329057,37.17419673,
10,126.9964685,126.997589,37.17419195,37.17509812,
11,126.9964625,126.997583,37.17509333,37.1759995,
12,126.9964565,126.997577,37.17599472,37.17690088,
13,126.9964506,126.9975711,37.1768961,37.17780226,
14,126.9964446,126.9975651,37.17779748,37.17870364,
15,126.9964386,126.9975591,37.17869886,37.17960502,
16,126.9964326,126.9975531,37.17960024,37.1805064,
17,126.9976009,126.9987214,37.17329535,37.1742015,
18,126.9975949,126.9987154,37.17419673,37.17510289,
19,126.997589,126.9987095,37.17509812,37.17600427,
20,126.997583,126.9987035,37.1759995,37.17690565,
21,126.997577,126.9986975,37.17690088,37.17780703,
22,126.9975711,126.9986916,37.17780226,37.17870841,
23,126.9975651,126.9986856,37.17870364,37.17960979,
24,126.9975591,126.9986797,37.17960502,37.18051117,
25,126.9987273,126.9998478,37.17330012,37.17420626,
26,126.9987214,126.9998419,37.1742015,37.17510765,
27,126.9987154,126.9998359,37.17510289,37.17600903,
28,126.9987095,126.99983,37.17600427,37.17691041,
29,126.9987035,126.999824,37.17690565,37.17781179,
30,126.9986975,126.9998181,37.17780703,37.17871317,
31,126.9986916,126.9998121,37.17870841,37.17961455,
32,126.9986856,126.9998062,37.17960979,37.18051593,
33,126.9986797,126.9998003,37.18051117,37.18141732,
34,126.9998597,127.0009802,37.1724035,37.17330963,
35,126.9998537,127.0009742,37.17330488,37.17421101,
36,126.9998478,127.0009683,37.17420626,37.1751124,
37,126.9998419,127.0009624,37.17510765,37.17601378,
38,126.9998359,127.0009564,37.17600903,37.17691516,
39,126.99983,127.0009505,37.17691041,37.17781654,
40,126.9998181,127.0009386,37.17871317,37.1796193,
41,126.9998121,127.0009327,37.17961455,37.18052069,
42,126.9998062,127.0009268,37.18051593,37.18142207,
43,127.000992,127.0021125,37.17150687,37.17241299,
44,127.0009861,127.0021066,37.17240825,37.17331437,
