id,val,long1,lat1,long2,lat2
0,0,126.9942156,37.17418236,126.9953361,37.17508854
1,0,126.9942096,37.17508374,126.9953301,37.17598992
2,0,126.9942036,37.17598512,126.9953241,37.1768913
3,0,126.9941976,37.1768865,126.9953181,37.17779268
4,0,126.9953421,37.17418716,126.9964625,37.17509333
5,0,126.9953361,37.17508854,126.9964565,37.17599472
6,0,126.9953301,37.17598992,126.9964506,37.1768961
7,0,126.9953241,37.1768913,126.9964446,37.17779748
8,0,126.9953181,37.17779268,126.9964386,37.17869886
9,0,126.9964745,37.17329057,126.9975949,37.17419673
10,0,126.9964685,37.17419195,126.997589,37.17509812
11,0,126.9964625,37.17509333,126.997583,37.1759995
12,0,126.9964565,37.17599472,126.997577,37.17690088
13,0,126.9964506,37.1768961,126.9975711,37.17780226
14,0,126.9964446,37.17779748,126.9975651,37.17870364
15,0,126.9964386,37.17869886,126.9975591,37.17960502
16,0,126.9964326,37.17960024,126.9975531,37.1805064
17,0,126.9976009,37.17329535,126.9987214,37.1742015
18,0,126.9975949,37.17419673,126.9987154,37.17510289
19,0,126.997589,37.17509812,126.9987095,37.17600427
20,0,126.997583,37.1759995,126.9987035,37.17690565
21,0,126.997577,37.17690088,126.9986975,37.17780703
22,0,126.9975711,37.17780226,126.9986916,37.17870841
23,0,126.9975651,37.17870364,126.9986856,37.17960979
24,0,126.9975591,37.17960502,126.9986797,37.18051117
25,0,126.9987273,37.17330012,126.9998478,37.17420626
26,0,126.9987214,37.1742015,126.9998419,37.17510765
27,0,126.9987154,37.17510289,126.9998359,37.17600903
28,0,126.9987095,37.17600427,126.99983,37.17691041
29,0,126.9987035,37.17690565,126.999824,37.17781179
30,0,126.9986975,37.17780703,126.9998181,37.17871317
31,0,126.9986916,37.17870841,126.9998121,37.17961455
32,0,126.9986856,37.17960979,126.9998062,37.18051593
33,0,126.9986797,37.18051117,126.9998003,37.18141732
34,0,126.9998597,37.1724035,127.0009802,37.17330963
35,0,126.9998537,37.17330488,127.0009742,37.17421101
36,0,126.9998478,37.17420626,127.0009683,37.1751124
37,0,126.9998419,37.17510765,127.0009624,37.17601378
38,0,126.9998359,37.17600903,127.0009564,37.17691516
39,0,126.99983,37.17691041,127.0009505,37.17781654
40,0,126.9998181,37.17871317,127.0009386,37.1796193
41,0,126.9998121,37.17961455,127.0009327,37.18052069
42,0,126.9998062,37.18051593,127.0009268,37.18142207
43,0,127.000992,37.17150687,127.0021125,37.17241299
44,0,127.0009861,37.17240825,127.0021066,37.17331437
45,0,127.0009802,37.17330963,127.0021007,37.17421575
46,0,127.0009742,37.17421101,127.0020947,37.17511713
47,0,127.0009683,37.1751124,127.0020888,37.17601852
48,0,127.0009624,37.17601378,127.0020829,37.1769199
49,0,127.0009564,37.17691516,127.002077,37.17782128
50,0,127.0009505,37.17781654,127.0020711,37.17872266
51,0,127.0021302,37.16970884,127.0032507,37.17061495
52,0,127.0021243,37.17061022,127.0032448,37.17151633
53,0,127.0021184,37.1715116,127.0032389,37.17241771
54,0,127.0021125,37.17241299,127.003233,37.1733191
55,0,127.0021066,37.17331437,127.0032271,37.17422048
56,0,127.0021007,37.17421575,127.0032212,37.17512186
57,0,127.0020947,37.17511713,127.0032153,37.17602324
58,0,127.0020888,37.17601852,127.0032094,37.17692463
59,0,127.0020829,37.1769199,127.0032035,37.17782601
60,0,127.002077,37.17782128,127.0031976,37.17872739
61,0,127.0020711,37.17872266,127.0031917,37.17962877
62,0,127.0020533,37.18142681,127.003174,37.18233292
63,0,127.0020474,37.18232819,127.0031681,37.1832343
64,0,127.0032566,37.16971357,127.0043771,37.17061967
65,0,127.0032507,37.17061495,127.0043712,37.17152105
66,0,127.0032448,37.17151633,127.0043653,37.17242243
67,0,127.0032389,37.17241771,127.0043594,37.17332381
68,0,127.003233,37.1733191,127.0043535,37.1742252
69,0,127.0032271,37.17422048,127.0043476,37.17512658
70,0,127.0032212,37.17512186,127.0043417,37.17602796
71,0,127.0032153,37.17602324,127.0043358,37.17692934
72,0,127.0032094,37.17692463,127.00433,37.17783073
73,0,127.0032035,37.17782601,127.0043241,37.17873211
74,0,127.0031976,37.17872739,127.0043182,37.17963349
75,0,127.0031917,37.17962877,127.0043123,37.18053487
76,0,127.0031799,37.18143153,127.0043005,37.18233763
77,0,127.003174,37.18233292,127.0042946,37.18323902
78,0,127.0031681,37.1832343,127.0042887,37.1841404
79,0,127.0031622,37.18413568,127.0042828,37.18504178
80,0,127.0043888,37.1688169,127.0055093,37.16972299
81,0,127.004383,37.16971828,127.0055034,37.17062437
82,0,127.0043771,37.17061967,127.0054976,37.17152575
83,0,127.0043712,37.17152105,127.0054917,37.17242714
84,0,127.0043653,37.17242243,127.0054858,37.17332852
85,0,127.0043594,37.17332381,127.0054799,37.1742299
86,0,127.0043535,37.1742252,127.0054741,37.17513129
87,0,127.0043476,37.17512658,127.0054682,37.17603267
88,0,127.0043417,37.17602796,127.0054623,37.17693405
89,0,127.0043358,37.17692934,127.0054564,37.17783543
90,0,127.00433,37.17783073,127.0054506,37.17873682
91,0,127.0043241,37.17873211,127.0054447,37.1796382
92,0,127.0043182,37.17963349,127.0054388,37.18053958
93,0,127.0043123,37.18053487,127.0054329,37.18144096
94,0,127.0043064,37.18143625,127.0054271,37.18234234
95,0,127.0043005,37.18233763,127.0054212,37.18324372
96,0,127.0042946,37.18323902,127.0054153,37.18414511
97,0,127.0042887,37.1841404,127.0054094,37.18504649
98,0,127.0042828,37.18504178,127.0054036,37.18594787
99,0,127.0055211,37.16792022,127.0066415,37.1688263
100,0,127.0055152,37.1688216,127.0066357,37.16972768
101,0,127.0055093,37.16972299,127.0066298,37.17062907
102,0,127.0055034,37.17062437,127.006624,37.17153045
103,0,127.0054976,37.17152575,127.0066181,37.17243183
104,1,127.0054917,37.17242714,127.0066122,37.17333322
105,0,127.0054858,37.17332852,127.0066064,37.1742346
106,0,127.0054799,37.1742299,127.0066005,37.17513598
107,0,127.0054741,37.17513129,127.0065947,37.17603736
108,0,127.0054682,37.17603267,127.0065888,37.17693875
109,0,127.0054623,37.17693405,127.0065829,37.17784013
110,0,127.0054564,37.17783543,127.0065771,37.17874151
111,0,127.0054506,37.17873682,127.0065712,37.17964289
112,0,127.0054447,37.1796382,127.0065653,37.18054428
113,0,127.0054388,37.18053958,127.0065595,37.18144566
114,0,127.0054329,37.18144096,127.0065536,37.18234704
115,0,127.0054271,37.18234234,127.0065477,37.18324842
116,0,127.0054212,37.18324372,127.0065419,37.1841498
117,0,127.0054153,37.18414511,127.006536,37.18505118
118,0,127.0054094,37.18504649,127.0065302,37.18595257
119,0,127.0054036,37.18594787,127.0065243,37.18685395
120,0,127.0066474,37.16792492,127.0077679,37.16883098
121,0,127.0066415,37.1688263,127.007762,37.16973237
122,0,127.0066357,37.16972768,127.0077562,37.17063375
